snapped_at,price,market_cap,total_volume
2018-10-21 00:00:00 UTC,10.875143199026477,97867235136.16388,721524416.4604566
2018-10-22 00:00:00 UTC,11.281081745801455,101583518020.10597,1145955951.3325808
2018-10-23 00:00:00 UTC,11.239692568575963,101157233105.94395,1008583112.1736578
2018-10-24 00:00:00 UTC,11.143936966906676,100295327339.68047,804942309.6122724
2018-10-25 00:00:00 UTC,11.033073211897904,99262813590.80031,758521577.959309
2018-10-26 00:00:00 UTC,10.87788559522013,97968753576.7641,820608861.9353652
2018-10-27 00:00:00 UTC,10.70452972214007,96381948718.46439,775079173.7369763
2018-10-28 00:00:00 UTC,10.308445327790878,92795799563.05557,886705556.8251389
2018-10-29 00:00:00 UTC,10.44356122219589,93986450889.10158,804551188.9153154
2018-10-30 00:00:00 UTC,9.88266413313884,88922501081.24428,908693612.0125171
2018-10-31 00:00:00 UTC,10.218829025201082,91914327837.6296,650184861.9858266
2018-11-01 00:00:00 UTC,10.302034295580423,92713833859.9793,557037324.6797487
2018-11-02 00:00:00 UTC,10.316378370943335,93012352300.35773,699675608.4156579
2018-11-03 00:00:00 UTC,10.647365383578434,95825944636.69333,810359598.3234297
2018-11-04 00:00:00 UTC,10.570915801345343,95065608197.34325,658711945.8940554
2018-11-05 00:00:00 UTC,10.624768915263743,95601403851.99629,775078979.510086
2018-11-06 00:00:00 UTC,10.611624157451098,95504617406.44827,683211235.4192601
2018-11-07 00:00:00 UTC,11.095598526577374,99690231460.48962,804800971.1894892
2018-11-08 00:00:00 UTC,11.028783535592156,99266172517.09856,922572642.382096
2018-11-09 00:00:00 UTC,10.641852688378785,95701032771.31023,886198266.9039328
2018-11-10 00:00:00 UTC,10.506281692237193,94534966943.93602,547171341.6097056
2018-11-11 00:00:00 UTC,10.699567152493733,96039520342.00494,561805731.8159935
2018-11-12 00:00:00 UTC,10.626272850512956,95636455643.99037,605595965.8732475
2018-11-13 00:00:00 UTC,12.609959672504484,113489637039.93036,6492929866.2546425
2018-11-14 00:00:00 UTC,12.363127173291268,111278809635.49834,5762374597.915882
2018-11-15 00:00:00 UTC,11.131066897003626,100179602061.9016,3071118765.429539
2018-11-16 00:00:00 UTC,10.812104646529924,97308941807.95717,1913700205.8708057
2018-11-17 00:00:00 UTC,10.73281767922101,96595359102.25627,1310311619.4671261
2018-11-18 00:00:00 UTC,10.491788928100073,94412615419.35226,960353719.3989104
2018-11-19 00:00:00 UTC,10.55845788841131,94953517960.9829,929494017.7325766
2018-11-20 00:00:00 UTC,9.41519859271135,84838221319.7507,1740756561.759712
2018-11-21 00:00:00 UTC,8.657622838862844,77303719266.72296,1824811750.0144894
2018-11-22 00:00:00 UTC,9.348151455009152,84218156004.8233,1239580886.5259082
2018-11-23 00:00:00 UTC,9.295215412078003,84167706379.38211,1271806780.7361152
2018-11-24 00:00:00 UTC,8.870448071004594,79834032630.1709,1177683058.0171237
2018-11-25 00:00:00 UTC,7.833859124032838,70504732108.46169,1031484657.2976428
2018-11-26 00:00:00 UTC,7.997728978395234,71979560797.55937,1455039349.6975415
2018-11-27 00:00:00 UTC,7.905178950254112,71679928884.50037,1293689749.2675037
2018-11-28 00:00:00 UTC,8.634545853568236,77912335693.95593,2011265310.1145656
2018-11-29 00:00:00 UTC,9.287189657411487,83571977892.20645,2242592581.812486
2018-11-30 00:00:00 UTC,9.031827730361476,81279585893.4767,1374653110.842039
2018-12-01 00:00:00 UTC,8.562020943750976,76808104333.395,1330169114.9071753
2018-12-02 00:00:00 UTC,8.835235746159247,79556369813.27777,1091303719.7735353
2018-12-03 00:00:00 UTC,8.82753160120692,79387440443.83844,924394308.9236131
2018-12-04 00:00:00 UTC,8.410803148985737,75683241492.58119,1273238732.2462296
2018-12-05 00:00:00 UTC,8.666200675214546,77936308556.41895,1836110170.7185616
2018-12-06 00:00:00 UTC,8.614453199349965,77563084701.81456,1392219251.6205115
2018-12-07 00:00:00 UTC,7.807320205012579,70322166265.00912,1332301471.444761
2018-12-08 00:00:00 UTC,8.050896923115175,72176477177.228,1792741850.110035
2018-12-09 00:00:00 UTC,7.8768814792862685,71024431917.82468,1308031424.283734
2018-12-10 00:00:00 UTC,8.239821279603932,74200887629.40067,1157258590.6095104
2018-12-11 00:00:00 UTC,8.039298754727145,72389206409.12799,1117012922.7627985
2018-12-12 00:00:00 UTC,7.851701875211525,70666235463.05754,965598892.8782948
2018-12-13 00:00:00 UTC,7.8179177329646805,70254307694.7225,908953818.5267724
2018-12-14 00:00:00 UTC,7.513219818882496,67556240011.21061,951343847.2834543
2018-12-15 00:00:00 UTC,6.940292358957616,62433378995.93622,1107079764.8705516
2018-12-16 00:00:00 UTC,6.583548347601033,59218822237.05551,1103205741.1517162
2018-12-17 00:00:00 UTC,6.831412890327474,61693829507.309525,973861451.1685649
2018-12-18 00:00:00 UTC,7.3778264270673874,66434154309.41631,1091268970.6760452
2018-12-19 00:00:00 UTC,7.435728232704553,66921554086.90525,1076847997.2868807
2018-12-20 00:00:00 UTC,7.6208646825178965,68530162740.99943,1888662288.5748656
2018-12-21 00:00:00 UTC,8.296715292585777,74512003479.99777,1513641498.923421
2018-12-22 00:00:00 UTC,8.288816157764249,73429249842.03932,1565978103.7557762
2018-12-23 00:00:00 UTC,8.184105976305068,73583100634.46071,1169886932.1812322
2018-12-24 00:00:00 UTC,8.105715810356513,72915394818.0366,1054051752.1705203
2018-12-25 00:00:00 UTC,8.355754079977155,75243361132.40343,1470864289.4919996
2018-12-26 00:00:00 UTC,7.6811683053297175,68968630053.82143,1048382904.0330038
2018-12-27 00:00:00 UTC,7.801198112611511,70216100035.61755,825836406.5010488
2018-12-28 00:00:00 UTC,6.9903581481462975,63107379694.5673,738595945.3149936
2018-12-29 00:00:00 UTC,7.482550360714683,67375340223.92441,1090213495.3767807
2018-12-30 00:00:00 UTC,7.350839084190819,66345584764.5399,965573057.4728206
2018-12-31 00:00:00 UTC,7.503991659394651,67535924927.04787,1151445278.0598853
2019-01-01 00:00:00 UTC,6.956150271878815,62539363410.60707,1359248256.744205
2019-01-02 00:00:00 UTC,7.165841982342059,64422621536.49123,1031407700.4705894
2019-01-03 00:00:00 UTC,7.115141917456805,64036277249.9961,1290888765.1346648
2019-01-04 00:00:00 UTC,6.894755440226705,62027632725.36058,995267872.8020202
2019-01-05 00:00:00 UTC,6.982758431838575,62890569635.88934,1056059139.2992125
2019-01-06 00:00:00 UTC,6.929929554029242,62399794486.299065,1290322845.3859804
2019-01-07 00:00:00 UTC,7.013859661129901,63133561029.26476,1110117205.212229
2019-01-08 00:00:00 UTC,6.9877999447557375,62864794941.11971,1212852002.6547766
2019-01-09 00:00:00 UTC,6.907617157350524,62167092811.88295,1400071320.6406114
2019-01-10 00:00:00 UTC,6.917895779748849,62274246772.80232,1411546948.4173217
2019-01-11 00:00:00 UTC,6.009328159773705,54152251400.07388,1623119983.3833063
2019-01-12 00:00:00 UTC,6.221987318970789,55846405293.71561,2114885976.2203765
2019-01-13 00:00:00 UTC,6.114406060020766,55020997783.814415,1486597230.2554312
2019-01-14 00:00:00 UTC,5.889092672242797,52957404553.43518,1647244150.9066386
2019-01-15 00:00:00 UTC,6.1861108880208535,55753738959.75765,1601047276.5536237
2019-01-16 00:00:00 UTC,6.008042353662806,54084848892.24879,1316690137.750524
2019-01-17 00:00:00 UTC,6.102865114653085,54837198810.16941,1546943748.7353597
2019-01-18 00:00:00 UTC,6.158067045026579,55422603399.08115,1984914321.3501275
